State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
Indiana,7,D+11,Andre Carson,D,"116,673","69,047",0,62.80%,37.20%,0.00%,25.60%,22.50%,3.10%,69.30%,
161,,,,,,,,,,,,,,,
Indiana,8,R+15,Larry Bucshon,R,"86,409","157,209",0,35.50%,64.50%,0.00%,-29.10%,-33.60%,4.50%,80.80%,
162,,,,,,,,,,,,,,,
Indiana,9,R+13,Trey Hollingsworth,R,"100,324","146,699",0,40.60%,59.40%,0.00%,-18.80%,-26.80%,8.00%,75.80%,
163,,,,,,,,,,,,,,,
Iowa,1,D+1,Abby Finkenauer,D,"169,348","152,940","10,228",50.90%,46.00%,3.10%,4.90%,-3.50%,8.40%,84.00%,
164,,,,,,,,,,,,,,,
Iowa,2,D+1,Dave Loebsack,D,"171,054","133,010","8,010",54.80%,42.60%,2.60%,12.20%,-4.10%,16.30%,81.20%,
165,,,,,,,,,,,,,,,
Iowa,3,R+1,Cindy Axne,D,"169,886","164,656","11,976",49.00%,47.50%,3.50%,1.50%,-3.50%,5.00%,86.20%,
166,,,,,,,,,,,,,,,
Iowa,4,R+11,Steve King,R,"146,698","157,221","8,251",47.00%,50.40%,2.60%,-3.40%,-27.10%,23.70%,81.30%,
167,,,,,,,,,,,,,,,
Kansas,1,R+24,Roger Marshall,R,"69,076","149,708",0,31.60%,68.40%,0.00%,-36.90%,-44.80%,7.90%,82.30%,
168,,,,,,,,,,,,,,,
Kansas,2,R+10,Steve Watkins,R,"120,421","124,895","14,402",46.40%,48.10%,5.50%,-1.70%,-18.30%,16.60%,87.50%,
169,,,,,,,,,,,,,,,
Kansas,3,R+4,Sharice Davids,D,"164,253","136,104","7,643",53.30%,44.20%,2.50%,9.10%,1.20%,7.90%,89.40%,
170,,,,,,,,,,,,,,,
Kansas,4,R+15,Ron Estes,R,"93,384","138,856",0,40.20%,59.80%,0.00%,-19.60%,-27.00%,7.40%,84.10%,
171,,,,,,,,,,,,,,,
Kentucky,1,R+23,James Comer,R,"78,849","172,166",0,31.40%,68.60%,0.00%,-37.20%,-48.50%,11.30%,80.90%,
172,,,,,,,,,,,,,,,
Kentucky,2,R+19,Brett Guthrie,R,"79,994","171,700","5,681",31.10%,66.70%,2.20%,-35.60%,-39.90%,4.30%,79.30%,
173,,,,,,,,,,,,,,,
Kentucky,3,D+6,John Yarmuth,D,"172,999","101,929","3,788",62.10%,36.60%,1.40%,25.50%,14.90%,10.60%,82.00%,
174,,,,,,,,,,,,,,,
Kentucky,4,R+18,Thomas Massie,R,"90,533","162,943","8,318",34.60%,62.20%,3.20%,-27.70%,-35.90%,8.20%,77.60%,
175,,,,,,,,,,,,,,,
Kentucky,5,R+31,Hal Rogers,R,"45,965","172,359",0,21.10%,78.90%,0.00%,-57.90%,-62.10%,4.20%,78.40%,
176,,,,,,,,,,,,,,,
Kentucky,6,R+9,Andy Barr,R,"144,730","154,468","3,684",47.80%,51.00%,1.20%,-3.20%,-15.30%,12.10%,90.90%,
177,,,,,,,,,,,,,,,
Louisiana,1,R+24,Steve Scalise,R,"71,499","192,526","5,248",26.60%,71.50%,1.90%,-44.90%,-42.20%,-2.70%,75.90%,
178,,,,,,,,,,,,,,,
Louisiana,2,D+25,Cedric Richmond,D,"190,066",0,"45,788",80.60%,0.00%,19.40%,80.60%,52.70%,N/A,71.50%,
179,,,,,,,,,,,,,,,
Louisiana,3,R+20,Clay Higgins,R,"74,710","168,258","2,967",30.40%,68.40%,1.20%,-38.00%,-38.10%,0.10%,71.70%,
180,,,,,,,,,,,,,,,
Louisiana,4,R+13,Mike Johnson,R,"72,923","139,307","4,612",33.60%,64.20%,2.10%,-30.60%,-24.00%,-6.60%,68.10%,
181,,,,,,,,,,,,,,,
Louisiana,5,R+15,Ralph Abraham,R,"67,113","149,010","7,810",30.00%,66.50%,3.50%,-36.60%,-29.40%,-7.20%,69.30%,
182,,,,,,,,,,,,,,,
Louisiana,6,R+19,Garret Graves,R,"76,697","186,502","5,254",28.60%,69.50%,2.00%,-40.90%,-34.10%,-6.80%,76.00%,
183,,,,,,,,,,,,,,,
Maine,1,D+8,Chellie Pingree,D,"198,853","109,714","29,569",58.80%,32.40%,8.70%,26.40%,14.80%,11.60%,85.70%,
184,,,,,,,,,,,,,,,
Maine,2,R+2,,,"129,556","131,466","23,433",45.50%,46.20%,8.20%,-0.70%,-10.30%,9.60%,80.50%,
185,,,,,,,,,,,,,,,
Maryland,1,R+14,Andy Harris,R,"113,050","180,477","5,712",37.80%,60.30%,1.90%,-22.50%,-25.10%,2.60%,81.30%,
186,,,,,,,,,,,,,,,
Maryland,2,D+11,Dutch Ruppersberger,D,"157,764","74,493","4,966",66.50%,31.40%,2.10%,35.10%,21.00%,14.10%,75.70%,
187,,,,,,,,,,,,,,,
Maryland,3,D+13,John Sarbanes,D,"186,207","78,167","6,926",68.60%,28.80%,2.60%,39.80%,30.90%,8.90%,78.50%,
188,,,,,,,,,,,,,,,
Maryland,4,D+28,Anthony Brown,D,"197,439","51,687","4,940",77.70%,20.30%,1.90%,57.40%,57.10%,0.30%,78.00%,
189,,,,,,,,,,,,,,,
Maryland,5,D+16,Steny Hoyer,D,"204,043","80,229","7,014",70.00%,27.50%,2.40%,42.50%,33.80%,8.70%,79.80%,
190,,,,,,,,,,,,,,,
Maryland,6,D+6,David Trone,D,"144,386","98,764","7,343",57.60%,39.40%,2.90%,18.20%,15.40%,2.80%,74.30%,
191,,,,,,,,,,,,,,,
Maryland,7,D+26,Elijah Cummings,D,"188,516","53,637","5,435",76.10%,21.70%,2.20%,54.50%,52.50%,2.00%,76.40%,
192,,,,,,,,,,,,,,,
Maryland,8,D+14,Jamie Raskin,D,"192,854","91,019","4,745",66.80%,31.50%,1.60%,35.30%,33.30%,2.00%,78.20%,
193,,,,,,,,,,,,,,,
Massachusetts,1,D+12,Richard Neal,D,"81,290",0,0,100.00%,0.00%,0.00%,100.00%,20.30%,N/A,23.60%,
194,,,,,,,,,,,,,,,
Massachusetts,2,D+9,Jim McGovern,D,"179,868","86,292",0,67.60%,32.40%,0.00%,35.20%,19.00%,16.20%,74.50%,
195,,,,,,,,,,,,,,,
Massachusetts,3,D+9,Lori Trahan,D,"171,303","92,744","12,473",61.90%,33.50%,4.50%,28.40%,22.50%,5.90%,78.00%,
196,,,,,,,,,,,,,,,
Massachusetts,4,D+9,Joe Kennedy,D,"108,914",0,0,100.00%,0.00%,0.00%,100.00%,23.70%,N/A,28.00%,
197,,,,,,,,,,,,,,,
Massachusetts,5,D+18,Katherine Clark,D,"228,521","72,353",0,76.00%,24.00%,0.00%,51.90%,42.90%,9.00%,79.20%,
198,,,,,,,,,,,,,,,
Massachusetts,6,D+6,Seth Moulton,D,"216,282","104,379","11,244",65.20%,31.40%,3.40%,33.70%,17.60%,16.10%,81.40%,
199,,,,,,,,,,,,,,,
Massachusetts,7,D+34,Ayanna Pressley,D,"190,637",0,"2,481",98.70%,0.00%,1.30%,98.70%,71.20%,N/A,63.10%,
200,,,,,,,,,,,,,,,
Massachusetts,8,D+10,Stephen Lynch,D,"162,613",0,"1,310",99.20%,0.00%,0.80%,99.20%,25.60%,N/A,42.10%,
201,,,,,,,,,,,,,,,
Massachusetts,9,D+4,Bill Keating,D,"190,213","130,424",0,59.30%,40.70%,0.00%,18.60%,10.60%,8.00%,80.70%,
202,,,,,,,,,,,,,,,
Michigan,1,R+9,Jack Bergman,R,"144,203","185,752",0,43.70%,56.30%,0.00%,-12.60%,-21.30%,8.70%,90.50%,
203,,,,,,,,,,,,,,,
Michigan,2,R+9,Bill Huizenga,R,"131,195","168,843","5,226",43.00%,55.30%,1.70%,-12.30%,-17.30%,5.00%,87.10%,
204,,,,,,,,,,,,,,,
Michigan,3,R+6,Justin Amash,R,"124,981","162,038","7,163",42.50%,55.10%,2.40%,-12.60%,-9.40%,-3.20%,84.10%,
205,,,,,,,,,,,,,,,
Michigan,4,R+10,John Moolenaar,R,"106,539","178,511",0,37.40%,62.60%,0.00%,-25.20%,-24.80%,-0.40%,86.70%,
206,,,,,,,,,,,,,,,
Michigan,5,D+5,Daniel Kildee,D,"164,521","99,269","12,645",59.50%,35.90%,4.60%,23.60%,4.30%,19.30%,84.30%,
207,,,,,,,,,,,,,,,
Michigan,6,R+4,Fred Upton,R,"134,069","147,437","11,923",45.70%,50.20%,4.10%,-4.60%,-8.40%,3.80%,88.20%,
208,,,,,,,,,,,,,,,
Michigan,7,R+7,Tim Walberg,R,"136,410","158,885",0,46.20%,53.80%,0.00%,-7.60%,-17.00%,9.40%,86.60%,
209,,,,,,,,,,,,,,,
Michigan,8,R+4,Elissa Slotkin,D,"172,878","159,804","8,928",50.60%,46.80%,2.60%,3.80%,-6.70%,10.50%,90.50%,
210,,,,,,,,,,,,,,,
Michigan,9,D+4,Andy Levin,D,"181,844","112,309","10,965",59.60%,36.80%,3.60%,22.80%,7.70%,15.10%,85.90%,
211,,,,,,,,,,,,,,,
Michigan,10,R+13,Paul Mitchell,R,"106,098","182,870","14,272",35.00%,60.30%,4.70%,-25.30%,-32.20%,6.90%,84.70%,
212,,,,,,,,,,,,,,,
Michigan,11,R+4,Haley Stevens,D,"179,976","155,331","10,450",52.10%,44.90%,3.00%,7.10%,-4.40%,11.50%,88.00%,
213,,,,,,,,,,,,,,,
Michigan,12,D+14,Debbie Dingell,D,"183,063","74,483","7,855",69.00%,28.10%,3.00%,40.90%,26.20%,14.70%,78.00%,
214,,,,,,,,,,,,,,,
Michigan,13,D+32,Rashida Tlaib,D,"137,495",0,"24,685",84.80%,0.00%,15.20%,84.80%,60.60%,N/A,61.10%,
215,,,,,,,,,,,,,,,
Michigan,14,D+30,Brenda Lawrence,D,"204,847","40,803","4,554",81.90%,16.30%,1.80%,65.60%,60.90%,4.70%,78.50%,
216,,,,,,,,,,,,,,,
Minnesota,1,R+5,Jim Hagedorn,R,"144,891","146,202",0,49.80%,50.20%,0.00%,-0.50%,-14.80%,14.30%,84.70%,
217,,,,,,,,,,,,,,,
Minnesota,2,R+2,Angie Craig,D,"177,971","159,373",0,52.80%,47.20%,0.00%,5.50%,-1.20%,6.70%,88.40%,
218,,,,,,,,,,,,,,,
Minnesota,3,D+1,Dean Phillips,D,"202,402","160,839",0,55.70%,44.30%,0.00%,11.40%,9.40%,2.00%,90.40%,
219,,,,,,,,,,,,,,,
Minnesota,4,D+14,Betty McCollum,D,"216,740","97,723","13,772",66.00%,29.80%,4.20%,36.30%,30.60%,5.70%,89.30%,
220,,,,,,,,,,,,,,,
Minnesota,5,D+26,Ilhan Omar,D,"267,690","74,437",0,78.20%,21.80%,0.00%,56.50%,54.70%,1.80%,91.30%,
221,,,,,,,,,,,,,,,
Minnesota,6,R+12,Tom Emmer,R,"122,333","192,945",0,38.80%,61.20%,0.00%,-22.40%,-25.50%,3.10%,84.30%,
222,,,,,,,,,,,,,,,
Minnesota,7,R+12,Collin Peterson,D,"146,670","134,662",0,52.10%,47.90%,0.00%,4.30%,-30.50%,34.80%,82.90%,
223,,,,,,,,,,,,,,,
Minnesota,8,R+4,Pete Stauber,R,"141,972","159,388","12,768",45.20%,50.70%,4.10%,-5.50%,-15.50%,10.00%,86.70%,
224,,,,,,,,,,,,,,,
Mississippi,1,R+16,Trent Kelly,R,"74,241","154,447","1,611",32.20%,67.10%,0.70%,-34.80%,-33.00%,-1.80%,74.10%,
225,,,,,,,,,,,,,,,
Mississippi,2,D+14,Bennie Thompson,D,"148,977",0,"58,319",71.90%,0.00%,28.10%,71.90%,28.40%,N/A,71.10%,
226,,,,,,,,,,,,,,,
Mississippi,3,R+13,Michael Guest,R,"90,193","155,840","2,427",36.30%,62.70%,1.00%,-26.40%,-24.50%,-1.90%,76.70%,
227,,,,,,,,,,,,,,,
Mississippi,4,R+21,Steven Palazzo,R,"56,371","133,805","2,014",29.30%,69.60%,1.00%,-40.30%,-41.10%,0.80%,67.80%,
228,,,,,,,,,,,,,,,
Missouri,1,D+29,Lacy Clay,D,"216,479","45,255","8,641",80.10%,16.70%,3.20%,63.30%,58.00%,5.30%,84.40%,
229,,,,,,,,,,,,,,,
Missouri,2,R+8,Ann Wagner,R,"174,486","190,008","5,899",47.10%,51.30%,1.60%,-4.20%,-10.30%,6.10%,87.90%,
230,,,,,,,,,,,,,,,
Missouri,3,R+18,Blaine Luetkemeyer,R,"106,478","211,000","6,754",32.80%,65.10%,2.10%,-32.20%,-39.00%,6.80%,85.60%,
231,,,,,,,,,,,,,,,
Missouri,4,R+17,Vicky Hartzler,R,"93,861","185,245","6,994",32.80%,64.70%,2.40%,-31.90%,-35.80%,3.90%,83.90%,
232,,,,,,,,,,,,,,,
Missouri,5,D+7,Emanuel Cleaver,D,"173,592","100,695","7,665",61.60%,35.70%,2.70%,25.90%,14.80%,11.10%,86.10%,
233,,,,,,,,,,,,,,,
Missouri,6,R+16,Sam Graves,R,"97,515","199,580","7,859",32.00%,65.40%,2.60%,-33.50%,-32.30%,-1.20%,85.50%,
234,,,,,,,,,,,,,,,
Missouri,7,R+23,Billy Long,R,"88,642","195,872","10,833",30.00%,66.30%,3.70%,-36.30%,-45.50%,9.20%,86.10%,
235,,,,,,,,,,,,,,,
Missouri,8,R+24,Jason Smith,R,"65,043","190,826","4,148",25.00%,73.40%,1.60%,-48.40%,-54.20%,5.80%,81.60%,
236,,,,,,,,,,,,,,,
Montana,AL,R+11,Greg Gianforte,R,"227,036","251,611","13,951",46.10%,51.10%,2.80%,-5.00%,-20.40%,15.40%,99.10%,
237,,,,,,,,,,,,,,,
Nebraska,1,R+11,Jeff Fortenberry,R,"91,426","140,248",0,39.50%,60.50%,0.00%,-21.10%,-20.70%,-0.40%,82.00%,
238,,,,,,,,,,,,,,,
Nebraska,2,R+4,Don Bacon,R,"114,154","121,466",0,48.40%,51.60%,0.00%,-3.10%,-2.20%,-0.90%,80.80%,
239,,,,,,,,,,,,,,,
Nebraska,3,R+27,Adrian Smith,R,"49,473","162,968",0,23.30%,76.70%,0.00%,-53.40%,-54.20%,0.80%,78.60%,
240,,,,,,,,,,,,,,,
Nevada,1,D+15,Dina Titus,D,"100,643","46,963","4,515",66.20%,30.90%,3.00%,35.30%,29.00%,6.30%,77.30%,
241,,,,,,,,,,,,,,,
Nevada,2,R+7,Mark Amodei,R,"120,091","167,427",0,41.80%,58.20%,0.00%,-16.50%,-12.40%,-4.10%,88.20%,
242,,,,,,,,,,,,,,,
Nevada,3,R+2,Susie Lee,D,"148,436","122,527","15,098",51.90%,42.80%,5.30%,9.10%,-1.00%,10.10%,87.90%,
243,,,,,,,,,,,,,,,
Nevada,4,D+3,Steven Horsford,D,"121,834","102,484","10,130",52.00%,43.70%,4.30%,8.30%,4.90%,3.40%,84.70%,
244,,,,,,,,,,,,,,,
New Hampshire,1,R+2,Chris Pappas,D,"155,710","130,955","4,190",53.50%,45.00%,1.40%,8.50%,-1.60%,10.10%,77.00%,
245,,,,,,,,,,,,,,,
New Hampshire,2,D+2,Annie Kuster,D,"155,239","117,957","6,162",55.60%,42.20%,2.20%,13.30%,2.40%,10.90%,76.20%,
246,,,,,,,,,,,,,,,
New Jersey,1,D+13,Donald Norcross,D,"163,948","85,193","5,072",64.50%,33.50%,2.00%,31.00%,24.50%,6.50%,77.20%,
247,,,,,,,,,,,,,,,
New Jersey,2,R+1,Jeff Van Drew,D,"126,420","111,001","4,317",52.30%,45.90%,1.80%,6.40%,-4.60%,11.00%,75.30%,
248,,,,,,,,,,,,,,,
New Jersey,3,R+2,,,"150,311","146,887","3,815",49.90%,48.80%,1.30%,1.10%,-6.20%,7.30%,82.40%,
249,,,,,,,,,,,,,,,
New Jersey,4,R+8,Chris Smith,R,"123,995","159,965","4,209",43.00%,55.50%,1.50%,-12.50%,-14.80%,2.30%,80.80%,
250,,,,,,,,,,,,,,,
New Jersey,5,R+3,Josh Gottheimer,D,"148,021","116,505","3,568",55.20%,43.50%,1.30%,11.80%,-1.10%,12.90%,73.50%,
251,,,,,,,,,,,,,,,
New Jersey,6,D+9,Frank Pallone,D,"135,770","78,570",0,63.30%,36.70%,0.00%,26.70%,15.60%,11.10%,74.00%,
252,,,,,,,,,,,,,,,
New Jersey,7,R+3,Tom Malinowski,D,"158,892","144,802","2,505",51.90%,47.30%,0.80%,4.60%,1.10%,3.50%,82.40%,
253,,,,,,,,,,,,,,,
New Jersey,8,D+27,Albio Sires,D,"105,041","25,621","4,310",77.80%,19.00%,3.20%,58.80%,54.20%,4.60%,58.70%,
254,,,,,,,,,,,,,,,
New Jersey,9,D+16,Bill Pascrell,D,"121,236","50,499","1,462",70.00%,29.20%,0.80%,40.80%,31.20%,9.60%,62.60%,
255,,,,,,,,,,,,,,,
New Jersey,10,D+36,Donald Payne Jr.,D,"166,886","19,632","4,210",87.50%,10.30%,2.20%,77.20%,72.40%,4.80%,69.50%,
256,,,,,,,,,,,,,,,
New Jersey,11,R+3,Mikie Sherrill,D,"162,264","123,156","3,097",56.20%,42.70%,1.10%,13.60%,-0.90%,14.50%,75.80%,
257,,,,,,,,,,,,,,,
New Jersey,12,D+16,Bonnie Watson Coleman,D,"168,253","77,270",0,68.50%,31.50%,0.00%,37.10%,33.20%,3.90%,78.00%,
258,,,,,,,,,,,,,,,
New Mexico,1,D+7,Deb Haaland,D,"145,021","89,297","11,185",59.10%,36.40%,4.60%,22.70%,16.50%,6.20%,86.10%,
259,,,,,,,,,,,,,,,
New Mexico,2,R+6,Xochitl Torres Small,D,"99,440","96,712",0,50.70%,49.30%,0.00%,1.40%,-10.20%,11.60%,83.80%,
260,,,,,,,,,,,,,,,
New Mexico,3,D+8,Ben R. Lujan,D,"154,292","76,129","13,200",63.30%,31.20%,5.40%,32.10%,15.20%,16.90%,87.30%,
261,,,,,,,,,,,,,,,
New York,1,R+5,Lee Zeldin,R,"112,343","130,919","2,756",45.70%,53.20%,1.10%,-7.60%,-12.20%,4.60%,72.50%,
262,,,,,,,,,,,,,,,
New York,2,R+3,Peter King,R,"106,996","122,103",0,46.70%,53.30%,0.00%,-6.60%,-8.90%,2.30%,72.60%,
263,,,,,,,,,,,,,,,
New York,3,D+1,Tom Suozzi,D,"145,060","103,278",0,58.40%,41.60%,0.00%,16.80%,6.10%,10.70%,71.30%,
264,,,,,,,,,,,,,,,
New York,4,D+4,Kathleen Rice,D,"149,078","95,187",0,61.00%,39.00%,0.00%,22.10%,9.50%,12.60%,72.00%,
265,,,,,,,,,,,,,,,
New York,5,D+37,Gregory Meeks,D,"150,112",0,842,99.40%,0.00%,0.60%,99.40%,72.80%,N/A,60.90%,
266,,,,,,,,,,,,,,,
New York,6,D+16,Grace Meng,D,"103,823",0,"10,514",90.80%,0.00%,9.20%,90.80%,32.80%,N/A,54.80%,
267,,,,,,,,,,,,,,,
New York,7,D+38,Nydia Velazquez,D,"137,444",0,"9,725",93.40%,0.00%,6.60%,93.40%,76.10%,N/A,71.50%,
268,,,,,,,,,,,,,,,
New York,8,D+36,Hakeem Jeffries,D,"166,981",0,"10,477",94.10%,0.00%,5.90%,94.10%,70.80%,N/A,69.30%,
269,,,,,,,,,,,,,,,
New York,9,D+34,Yvette Clarke,D,"167,199","19,336",707,89.30%,10.30%,0.40%,79.00%,68.60%,10.40%,73.30%,
270,,,,,,,,,,,,,,,
New York,10,D+26,Jerrold Nadler,D,"146,749","33,931",0,81.20%,18.80%,0.00%,62.40%,58.90%,3.50%,68.20%,
271,,,,,,,,,,,,,,,
New York,11,R+3,Max Rose,D,"95,458","84,665",700,52.80%,46.80%,0.40%,6.00%,-9.80%,15.80%,72.30%,
272,,,,,,,,,,,,,,,
New York,12,D+31,Carolyn Maloney,D,"194,974","27,838","3,319",86.20%,12.30%,1.50%,73.90%,69.00%,4.90%,72.90%,
273,,,,,,,,,,,,,,,
New York,13,D+43,Adriano Espaillat,D,"167,667","9,525",0,94.60%,5.40%,0.00%,89.20%,86.40%,2.80%,69.90%,
274,,,,,,,,,,,,,,,
New York,14,D+29,Alexandria Ocasio-Cortez,D,"100,044","17,762","10,533",78.00%,13.80%,8.20%,64.10%,57.60%,6.50%,65.50%,
275,,,,,,,,,,,,,,,
New York,15,D+44,Jose E. Serrano,D,"112,798","4,647",0,96.00%,4.00%,0.00%,92.10%,88.60%,3.50%,61.20%,
276,,,,,,,,,,,,,,,
New York,16,D+24,Eliot Engel,D,"165,825",0,"1,269",99.20%,0.00%,0.80%,99.20%,52.20%,N/A,58.50%,
277,,,,,,,,,,,,,,,
New York,17,D+7,Nita Lowey,D,"157,275",0,"21,640",87.90%,0.00%,12.10%,87.90%,20.00%,N/A,55.70%,
278,,,,,,,,,,,,,,,
New York,18,R+1,Sean Patrick Maloney,D,"130,420","106,381",0,55.10%,44.90%,0.00%,10.20%,-2.00%,12.20%,75.80%,
279,,,,,,,,,,,,,,,
New York,19,R+2,Antonio Delgado,D,"132,001","124,428","6,407",50.20%,47.30%,2.40%,2.90%,-6.80%,9.70%,81.40%,
280,,,,,,,,,,,,,,,
New York,20,D+7,Paul Tonko,D,"163,148","83,788",0,66.10%,33.90%,0.00%,32.10%,13.30%,18.80%,75.00%,
281,,,,,,,,,,,,,,,
New York,21,R+4,Elise Stefanik,R,"90,526","122,863","3,211",41.80%,56.70%,1.50%,-14.90%,-13.70%,-1.20%,76.40%,
282,,,,,,,,,,,,,,,
New York,22,R+6,Anthony Brindisi,D,"117,779","116,357",0,50.30%,49.70%,0.00%,0.60%,-15.30%,15.90%,79.90%,
283,,,,,,,,,,,,,,,
New York,23,R+6,Thomas Reed,R,"100,495","122,881",0,45.00%,55.00%,0.00%,-10.00%,-14.70%,4.70%,76.20%,
284,,,,,,,,,,,,,,,
New York,24,D+3,John Katko,R,"114,102","129,276",0,46.90%,53.10%,0.00%,-6.20%,3.60%,-9.80%,78.40%,
285,,,,,,,,,,,,,,,
New York,25,D+8,Joe Morelle,D,"149,993","105,925",0,58.60%,41.40%,0.00%,17.20%,16.20%,1.00%,76.80%,
286,,,,,,,,,,,,,,,
New York,26,D+11,Brian Higgins,D,"157,086","58,128",0,73.00%,27.00%,0.00%,46.00%,19.60%,26.40%,70.50%,
287,,,,,,,,,,,,,,,
New York,27,R+11,Chris Collins,R,"129,594","132,402","5,700",48.40%,49.50%,2.10%,-1.00%,-24.30%,23.30%,76.70%,
288,,,,,,,,,,,,,,,
North Carolina,1,D+17,G.K. Butterfield,D,"188,074","81,486",0,69.80%,30.20%,0.00%,39.50%,37.40%,2.10%,74.60%,
289,,,,,,,,,,,,,,,
North Carolina,2,R+7,George Holding,R,"148,959","167,382","9,427",45.70%,51.40%,2.90%,-5.70%,-11.50%,5.80%,82.00%,
290,,,,,,,,,,,,,,,
North Carolina,3,R+12,Walter Jones,R,0,"186,353",0,0.00%,100.00%,0.00%,-100.00%,-24.00%,N/A,56.30%,
291,,,,,,,,,,,,,,,
North Carolina,4,D+17,David Price,D,"242,002","80,546","11,947",72.30%,24.10%,3.60%,48.30%,40.30%,8.00%,79.00%,
292,,,,,,,,,,,,,,,
North Carolina,5,R+10,Virginia Foxx,R,"118,593","158,495",0,42.80%,57.20%,0.00%,-14.40%,-17.30%,2.90%,76.40%,
293,,,,,,,,,,,,,,,
North Carolina,6,R+9,Mark Walker,R,"122,323","159,651",0,43.40%,56.60%,0.00%,-13.20%,-14.60%,1.40%,77.80%,
294,,,,,,,,,,,,,,,
North Carolina,7,R+9,David Rouzer,R,"119,606","155,705","4,599",42.70%,55.60%,1.60%,-12.90%,-17.70%,4.80%,77.50%,
295,,,,,,,,,,,,,,,
North Carolina,8,R+8,Richard Hudson,R,"112,736","140,352",0,44.50%,55.50%,0.00%,-10.90%,-14.80%,3.90%,75.60%,
296,,,,,,,,,,,,,,,
North Carolina,9,R+8,Mark Harris,R,"136,507","138,348","5,042",48.80%,49.40%,1.80%,-0.70%,-12.00%,11.30%,80.60%,
297,,,,,,,,,,,,,,,
North Carolina,10,R+12,Patrick McHenry,R,"112,386","164,060",0,40.70%,59.30%,0.00%,-18.70%,-24.00%,5.30%,76.50%,
298,,,,,,,,,,,,,,,
North Carolina,11,R+14,Mark Meadows,R,"115,840","177,240","6,074",38.70%,59.20%,2.00%,-20.50%,-29.10%,8.60%,81.10%,
299,,,,,,,,,,,,,,,
North Carolina,12,D+18,Alma Adams,D,"202,228","74,639",0,73.00%,27.00%,0.00%,46.10%,39.80%,6.30%,76.50%,
300,,,,,,,,,,,,,,,
North Carolina,13,R+6,Ted Budd,R,"128,764","145,962","8,231",45.50%,51.60%,2.90%,-6.10%,-9.20%,3.10%,76.90%,
301,,,,,,,,,,,,,,,
North Dakota,AL,R+16,Kelly Armstrong,R,"113,891","192,733","13,004",35.60%,60.30%,4.10%,-24.70%,-35.70%,11.00%,92.80%,
302,,,,,,,,,,,,,,,
Ohio,1,R+5,Steve Chabot,R,"135,467","151,107","5,126",46.40%,51.80%,1.80%,-5.40%,-6.60%,1.20%,80.50%,
303,,,,,,,,,,,,,,,
Ohio,2,R+9,Brad Wenstrup,R,"115,777","163,450","3,473",41.00%,57.80%,1.20%,-16.90%,-16.00%,-0.90%,79.40%,
304,,,,,,,,,,,,,,,
Ohio,3,D+19,Joyce Beatty,D,"174,421","63,470",0,73.30%,26.70%,0.00%,46.60%,38.90%,7.70%,75.70%,
305,,,,,,,,,,,,,,,
Ohio,4,R+14,Jim Jordan,R,"87,061","164,640",0,34.60%,65.40%,0.00%,-30.80%,-33.40%,2.60%,77.10%,
306,,,,,,,,,,,,,,,
Ohio,5,R+11,Bob Latta,R,"97,352","173,894","7,184",35.00%,62.50%,2.60%,-27.50%,-24.90%,-2.60%,76.90%,
307,,,,,,,,,,,,,,,
Ohio,6,R+16,Bill Johnson,R,"75,196","169,668",0,30.70%,69.30%,0.00%,-38.60%,-42.30%,3.70%,76.00%,
308,,,,,,,,,,,,,,,
Ohio,7,R+12,Bob Gibbs,R,"105,105","150,317",0,41.10%,58.90%,0.00%,-17.70%,-29.60%,11.90%,77.50%,
309,,,,,,,,,,,,,,,
Ohio,8,R+17,Warren Davidson,R,"84,738","170,561",0,33.20%,66.80%,0.00%,-33.60%,-34.30%,0.70%,74.00%,
310,,,,,,,,,,,,,,,
Ohio,9,D+14,Marcy Kaptur,D,"152,682","73,183",0,67.60%,32.40%,0.00%,35.20%,22.20%,13.00%,74.90%,
311,,,,,,,,,,,,,,,
Ohio,10,R+4,Mike Turner,R,"114,699","153,640","5,140",41.90%,56.20%,1.90%,-14.20%,-7.20%,-7.00%,78.10%,
312,,,,,,,,,,,,,,,
Ohio,11,D+32,Marcia Fudge,D,"197,147","43,443",0,81.90%,18.10%,0.00%,63.90%,63.50%,0.40%,74.40%,
313,,,,,,,,,,,,,,,
Ohio,12,R+7,Troy Balderson,R,"156,863","171,757","4,510",47.10%,51.60%,1.40%,-4.50%,-11.40%,6.90%,85.70%,
314,,,,,,,,,,,,,,,
Ohio,13,D+7,Tim Ryan,D,"149,271","96,225",0,60.80%,39.20%,0.00%,21.60%,6.50%,15.10%,76.80%,
315,,,,,,,,,,,,,,,
Ohio,14,R+5,David Joyce,R,"134,059","166,483",0,44.60%,55.40%,0.00%,-10.80%,-11.40%,0.60%,81.10%,
316,,,,,,,,,,,,,,,
Ohio,15,R+7,Steve Stivers,R,"112,546","166,632","5,477",39.50%,58.50%,1.90%,-19.00%,-15.60%,-3.40%,79.70%,
317,,,,,,,,,,,,,,,
Ohio,16,R+8,Anthony Gonzalez,R,"126,736","166,933",0,43.20%,56.80%,0.00%,-13.70%,-16.60%,2.90%,79.50%,
318,,,,,,,,,,,,,,,
